ID,Latitude,Longitude,Time_star,Time_end
AU-ASM,-22.283,133.249,2010-01-01,2014-12-31
AU-Cpr,-34.0021,140.5891,2010-01-01,2014-12-31
AU-DaP,-14.0633,131.3181,2007-01-01,2013-12-31
AU-Dry,-15.2588,132.3706,2008-01-01,2014-12-31
AU-GWW,-30.1913,120.6541,2013-01-01,2014-12-31
AU-Lox,-34.4704,140.6551,2008-01-01,2009-12-31
CG-Tch,-4.2892,11.6564,2006-01-01,2009-12-31
GH-Ank,5.2788,-52.9249,2011-01-01,2014-12-31
SD-Dem,13.2829,30.4783,2005-01-01,2009-12-31
SN-Dhr,15.4028,-15.4322,2010-01-01,2013-12-31
ZA-Kru,-25.0197,31.4969,2000-01-01,2013-12-31
ZM-Mon,-15.4391,23.2525,2000-01-01,2009-12-31
